area_rank,priority_band,primary_police_station,recommended_time_window_IST,suggested_patrol_units,operational_impact_score_0_100,records,zone_count,primary_junction,recommended_intervention,representative_location
1,Critical,Shivajinagar,10:00-10:59,4,71.12,19384,20,BTP051 - Safina Plaza Junction,auto stand regulation; tow-away readiness; junction approach protection,"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)"
2,Critical,Upparpet,09:00-09:59,4,71.01,35809,51,BTP040 - Elite Junction,tow-away readiness; junction approach protection,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)"
3,High,City Market,00:00-00:59,3,68.37,15913,25,BTP082 - KR Market Junction,carriageway clearance; auto stand regulation; tow-away readiness; junction approach protection,"KR Main Road, City Market Circle, Bengaluru, Karnataka. Pin-560002 (India)"
4,High,Kodigehalli,11:00-11:59,3,63.52,3280,1,No Junction,tow-away readiness; junction approach protection,"Sahakar Nagar Road, Fortuna Acacia, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)"
5,High,HAL Old Airport,04:00-04:59,3,62.6,5718,2,No Junction,carriageway clearance; tow-away readiness; junction approach protection,"New Horizon College Road, New Horizon College of Engineering, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)"
6,Medium,Malleshwaram,08:00-08:59,2,59.79,7719,18,BTP027 - Modi Bridge Junction,carriageway clearance; tow-away readiness; junction approach protection,"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
7,Medium,Vijayanagara,04:00-04:59,2,58.18,3590,3,BTP020 - Hosahalli Metro Station,tow-away readiness,"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)"
8,Medium,K.R. Pura,00:00-00:59,2,57.85,3084,3,No Junction,carriageway clearance; auto stand regulation; tow-away readiness; junction approach protection,"MBT Road, Devasandra Junction, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)"
9,Medium,Chikkajala,01:00-01:59,2,57.84,3374,4,No Junction,carriageway clearance; tow-away readiness; junction approach protection,"Unnamed Road, Begur Chikkanahalli, Bengaluru, Karnataka. Pin-562149 (India)"
10,Medium,Hebbala,03:00-03:59,2,57.45,2963,2,No Junction,tow-away readiness; junction approach protection,"Bellary Road, Vinayaka Nagar, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)"
11,Medium,Malleshwaram,10:00-10:59,2,55.86,3000,5,"BTP001 - 10th Cross, Dr. Rajkumar Road",tow-away readiness,"80 Feet Ring Road, Dr Rajkumar Road 17th Cross Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
12,Medium,Malleshwaram,09:00-09:59,2,55.2,4440,8,No Junction,auto stand regulation; tow-away readiness; junction approach protection,"80 Feet Ring Road, Orion, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)"
13,Medium,Magadi Road,12:00-12:59,2,55.11,2212,2,"BTP070 - Cholurpalya Junction, Magadi Road",auto stand regulation; junction approach protection,"1st Cross Road, Mallige Thotta, Cholurpalya, Bengaluru, Karnataka. Pin-560023 (India)"
